arc	source	where	terms	status	hits_per_head	top_paths	quote
B8073_su5_reality	paper/structure-genesis-first	B8073/PREREGISTRATION.md:25	absent check	GENERIC	"{""audit/b775-braver-questions"":434,""claude/new-session-qor5up"":401,""claude/outside-bench"":526,""codex/seat-r001"":431,""main"":489,""paper/structure-genesis-first"":439}"	docs/BANKING_PROTOCOL.md | docs/CAMPAIGN_STATUS.md | docs/CLOSURE_PROGRAM.md | docs/COMPUTE_THE_PROGRAM.md | docs/ERROR_LEDGER.md | docs/GUT_REQUIREMENTS_LEDGER.md | docs/HINT_LEDGER.md | docs/INPUT_COMPLETENESS_LEDGER.md | +80 catch-all	That check is absent from all three files.
B8073_su5_reality	paper/structure-genesis-first	B8073/FINDINGS.md:29	cell16 cell18 cell20 intertwines	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":7}"	docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B8068_j2t_charge_field/CELL_ITEM1_FINDINGS.md | frontier/B8073_su5_reality/FINDINGS.md | frontier/B8073_su5_reality/PREREGISTRATION.md | frontier/B8073_su5_reality/arc_verdict.json | frontier/B8073_su5_reality/cell31_B.py	is absent from `cell16_reality.py`, `cell18_realforms.py` and `cell20_outer.py`.** None of the three files contains any check that its τ intertwines.
B8073_su5_reality	paper/structure-genesis-first	B8073/results_p811.json:24 (also results_p991.json:25, results_p1093.json:25)	non-uniform characters families outside	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":7,""claude/outside-bench"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":15}"	docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B1067_rayclass_harvest/w1_results.json | docs/views/VERDICT_LEDGER.md | frontier/B8073_su5_reality/FINDINGS.md | +2 catch-all	NOT swept: non-uniform characters outside those families (the full space is (p-1)^6)
B8073_su5_reality	paper/structure-genesis-first	B8073/FINDINGS.md:68-70 (paraphrased scope heading; verbatim: 'Not established here:')	anywhere stable makes	GENERIC	"{""audit/b775-braver-questions"":53,""claude/new-session-qor5up"":46,""claude/outside-bench"":59,""codex/seat-r001"":50,""main"":57,""paper/structure-genesis-first"":50}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B659_novelty_dossier/SWEEP_RESULTS.md | frontier/B674_generation_leg/w2_molien_cell/w2_molien_cell.py | +10 catch-all	That is not established here: That no τ anywhere makes A stable.
B8074_nilpotent_rank4	paper/structure-genesis-first	B8074/FINDINGS.md:17	semisimple tested word	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":24,""claude/outside-bench"":34,""codex/seat-r001"":30,""main"":30,""paper/structure-genesis-first"":28}"	docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/THE_FRAMEWORK.md | docs/views/VERDICT_LEDGER.md | frontier/B149_sl4_ideal_completeness/FINDINGS.md | frontier/B530_natural_history/FINDINGS.md | frontier/B674_generation_leg/w3_enum_cc/enum_notes.md | +10 catch-all	"No arc in the bank had tested the word ""semisimple."""
B8074_nilpotent_rank4	paper/structure-genesis-first	B8074/PREREGISTRATION.md:28	semisimple hypothesis tests word	LEAD	"{""audit/b775-braver-questions"":16,""claude/new-session-qor5up"":20,""claude/outside-bench"":24,""codex/seat-r001"":22,""main"":23,""paper/structure-genesis-first"":21}"	docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B530_natural_history/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B742_negatives_hunt_p1/stageA/kill_graph.json | +8 catch-all	"No arc in the bank tests the word ""semisimple"" in that hypothesis."
B8074_nilpotent_rank4	paper/structure-genesis-first	B8074/FINDINGS.md:69-72 (heading: 'Not established here:')	b8068 covariant frontier reaches	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":5}"	docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B8074_nilpotent_rank4/FINDINGS.md | frontier/B8074_nilpotent_rank4/PREREGISTRATION.md | frontier/B8074_nilpotent_rank4/nilpotent_rank4.py | +1 catch-all	That the object reaches either orbit. The ω-covariant purity reading that would place it on `2A1` is mod-`p` work in `frontier/B8068_j2t_charge_field/` and is **owed**, not claimed.
B8075_rung_spectrum_audit	paper/structure-genesis-first	B8075/rung_spectrum.py docstring lines 3-9	advertised impossible external mistakes	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":2}"	frontier/B8075_rung_spectrum_audit/rung_spectrum.py | +1 catch-all	An external referee reports that Theorem 10.23 mistakes an ambient superset for a realized spectrum...making the advertised values 6, 8 and 10 impossible.
B8076_paper_closure	paper/structure-genesis-first	B8076/CAMPAIGN.md item 4 row, quoting Scope (assembly)	non-trivial decompositions enumeration irreducible	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":3,""claude/outside-bench"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":7}"	papers/VALIDATION_LEDGER.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8080_assembly_classification/assembly.py | papers/structure_paper/arxiv/verify/check_assembly.py | papers/structure_paper/verify/check_assembly.py | +2 catch-all	The enumeration behind this theorem is a search over multiset decompositions of 27 into non-trivial irreducible degrees for each of the six groups... its code is not deposited, so by this paper's own standard the theorem is an assertion ABOUT a computation.
B8076_paper_closure	paper/structure-genesis-first	B8076/CAMPAIGN.md item 5 row / relays/CC3_TO_CC_2026-08-19_THE_PAPER_STATE.md:26	representation reconstructed proposition certificate	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":12}"	docs/views/VERDICT_LEDGER.md | frontier/B796_coupling_campaign/harvest/lit_bkl_e10_wdw.md | docs/LAW_MAP.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8081_rho_rebuilt/FINDINGS.md | frontier/B8081_rho_rebuilt/arc_verdict.json | frontier/B8081_rho_rebuilt/rho_rebuilt.py | papers/structure_paper/arxiv/main.tex | +3 catch-all	its structure constants are specified in the source computation and are not reconstructed in this paper, so Proposition (2880) is a certificate whose ambient representation is cited rather than rebuilt
B8076_paper_closure	paper/structure-genesis-first	B8076/CAMPAIGN.md item 7 row	dimension citation proof count	GENERIC	"{""audit/b775-braver-questions"":91,""claude/new-session-qor5up"":95,""claude/outside-bench"":112,""codex/seat-r001"":99,""main"":109,""paper/structure-genesis-first"":95}"	docs/CAMPAIGN_STATUS.md | docs/ERROR_LEDGER.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/NOVELTY_AUDIT.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/STRUCTURE_TO_NATURE_MASTERPLAN.md | +14 catch-all	We give neither a proof nor a citation for the dimension count... this paper does not compute it.
B8076_paper_closure	paper/structure-genesis-first	B8076/CAMPAIGN.md item 11 row	deposited external census axioms	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":7}"	docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B8076_paper_closure/CAMPAIGN.md | papers/structure_paper/arxiv/main.tex | +2 catch-all	Census 5.1 (43 links, 4 axioms) — counts an external ledger that is not deposited.
B8076_paper_closure	paper/structure-genesis-first	B8076/relays/README.md, 'What is not corrected here'	seventy-five ad000777 roughly relays	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":1}"	frontier/B8076_paper_closure/relays/README.md	Roughly seventy-five loose relays banked on 2026-08-15 (ad000777) keep the gate red. They are not this seat's...
B8077_compact_home	paper/structure-genesis-first	B8077/FINDINGS.md:43-45	b1017 unsourced direction resource	LEAD	"{""audit/b775-braver-questions"":9,""claude/new-session-qor5up"":11,""claude/outside-bench"":14,""codex/seat-r001"":10,""main"":11,""paper/structure-genesis-first"":14}"	docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/SM_SPECIFICATION_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B1017_recount/FINDINGS.md | frontier/B1017_recount/arc_verdict.json | docs/RETRACTED_PHRASES.md | docs/THE_LADDER.md | +5 catch-all	the one row B1017's resource table marks UNSOURCED: the VEV direction.
B8077_compact_home	paper/structure-genesis-first	B8077/FINDINGS.md:60-61	inner forms outer swept	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":14,""claude/outside-bench"":19,""codex/seat-r001"":18,""main"":18,""paper/structure-genesis-first"":23}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B907_real_form_selector/DRAFT_COMPLETENESS.md | frontier/B907_real_form_selector/FINDINGS.md | frontier/B907_real_form_selector/completeness.py | +4 catch-all	Inner forms only. The outer real forms `e₆(6)` and `e₆(−26)` are **not swept**.
B8077_compact_home	paper/structure-genesis-first	B8077/compact_home.py:17	outer forms swept	LEAD	"{""audit/b775-braver-questions"":16,""claude/new-session-qor5up"":16,""claude/outside-bench"":28,""codex/seat-r001"":24,""main"":27,""paper/structure-genesis-first"":29}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B771_phase1_wave1/wave1_results.json | frontier/B772_negatives_adequacy/audit_results.json | frontier/B907_real_form_selector/DRAFT_COMPLETENESS.md | +4 catch-all	Outer forms (e6(6), e6(-26)) are NOT swept here.
B8077_compact_home	paper/structure-genesis-first	B8077/results.json:23	inner forms outer swept	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":14,""claude/outside-bench"":19,""codex/seat-r001"":18,""main"":18,""paper/structure-genesis-first"":23}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B907_real_form_selector/DRAFT_COMPLETENESS.md | frontier/B907_real_form_selector/FINDINGS.md | frontier/B907_real_form_selector/completeness.py | +4 catch-all	inner real forms only; outer forms e6(6) and e6(-26) NOT swept.
B8078_rung_spectrum_attained	paper/structure-genesis-first	B8078/PREREGISTRATION.md:3-4	b8075 preregistered exploratory structure	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":7}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B8078_rung_spectrum_attained/PREREGISTRATION.md | frontier/B8078_rung_spectrum_attained/rung_attained.py | papers/series/paper2_rung_spectrum/verify/rung_attained.py | +2 catch-all	This arc was NOT preregistered. It began as an exploratory probe of B8075's rung spectrum and the structure was found before the controls were written.
B8078_rung_spectrum_attained	paper/structure-genesis-first	B8078/FINDINGS.md:95 (also rung_attained.py:423)	mod-p dependencies certificate reduction	LEAD	"{""audit/b775-braver-questions"":2,""claude/new-session-qor5up"":3,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":10}"	papers/VALIDATION_LEDGER.md | docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B8078_rung_spectrum_attained/FINDINGS.md | frontier/B8078_rung_spectrum_attained/PREREGISTRATION.md | frontier/B8078_rung_spectrum_attained/arc_verdict.json | frontier/B8078_rung_spectrum_attained/rung_attained.py | papers/series/paper2_rung_spectrum/verify/rung_attained.py | +2 catch-all	not yet a ℚ̄ certificate — mod-p reduction can only *add* linear dependencies among weights
B8079_arrangement_exact	paper/structure-genesis-first	B8079/arrangement_exact.py:8	b8078 residue closes shares	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":5,""codex/seat-r001"":4,""main"":5,""paper/structure-genesis-first"":7}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | docs/THEOREM_REGISTRY.md | docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | frontier/B8079_arrangement_exact/arc_verdict.json | frontier/B8079_arrangement_exact/arrangement_exact.py | +2 catch-all	This closes that residue, by a construction that shares no code path with B8078
B8079_arrangement_exact	paper/structure-genesis-first	B8079/arrangement_exact.py:26	b8078 preregistered protection	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":7}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | docs/CAMPAIGN_STATUS.md | docs/RELAY_LEDGER.md | frontier/B8078_rung_spectrum_attained/PREREGISTRATION.md | frontier/B8079_arrangement_exact/arrangement_exact.py | +2 catch-all	NOT PREREGISTERED. The protection is the same as B8078's...
B8080_assembly_classification	paper/structure-genesis-first	B8080/FINDINGS.md:12-14, quoting the paper's own Scope (assembly)	six-group classification unverified described	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":3,""claude/outside-bench"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":7}"	frontier/B770_closure_census/census.json | docs/views/VERDICT_LEDGER.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8080_assembly_classification/FINDINGS.md | frontier/B8080_assembly_classification/assembly.py | +2 catch-all	That search is described here but its code is not deposited, so by this paper's own standard the theorem is an assertion ABOUT a computation. ... The full six-group classification should be read as unverified.
B8080_assembly_classification	paper/structure-genesis-first	B8080/FINDINGS.md:21	transcribed character value	LEAD	"{""audit/b775-braver-questions"":20,""claude/new-session-qor5up"":17,""claude/outside-bench"":31,""codex/seat-r001"":27,""main"":28,""paper/structure-genesis-first"":30}"	docs/ERROR_LEDGER.md | frontier/B156_omega_strict_full_cone/FINDINGS.md | frontier/B356_sigma_stability_scan/FINDINGS.md | frontier/B356_sigma_stability_scan/sigma_stability.py | frontier/B670_anatomy_full/packet/loop3/c3_signtable/c3_signtable.py | frontier/B771_phase1_wave1/cells/W3-188r/compute.py | frontier/B772_negatives_adequacy/audit_results.json | frontier/B775_phase2_wave1/cells/P2W5-GATEB/compute.py | +8 catch-all	No character value is transcribed.
B8080_assembly_classification	paper/structure-genesis-first	B8080/assembly.py:34-35	preregistered falsifiable classical controls	LEAD	"{""audit/b775-braver-questions"":15,""claude/new-session-qor5up"":15,""claude/outside-bench"":18,""codex/seat-r001"":17,""main"":17,""paper/structure-genesis-first"":17}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/dossiers/S6_theorem_inventory_cc2.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B742_negatives_hunt_p1/stageA/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/v3_preassembly.json | +6 catch-all	NOT PREREGISTERED. The controls are falsifiable by the paper and by classical facts this arc did not choose
B8081_rho_rebuilt	paper/structure-genesis-first	B8081/FINDINGS.md:5-8, quoting the paper's own Scope (2880)	representation reconstructed proposition certificate	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":12}"	docs/views/VERDICT_LEDGER.md | frontier/B796_coupling_campaign/harvest/lit_bkl_e10_wdw.md | docs/LAW_MAP.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8081_rho_rebuilt/FINDINGS.md | frontier/B8081_rho_rebuilt/arc_verdict.json | frontier/B8081_rho_rebuilt/rho_rebuilt.py | papers/structure_paper/arxiv/main.tex | +3 catch-all	its structure constants are specified in the source computation and are not reconstructed in this paper, so Proposition (2880) is a certificate whose ambient representation is cited rather than rebuilt
B8081_rho_rebuilt	paper/structure-genesis-first	B8081/rho_rebuilt.py:33	preregistered existed target number	LEAD	"{""audit/b775-braver-questions"":11,""claude/new-session-qor5up"":9,""claude/outside-bench"":14,""codex/seat-r001"":10,""main"":13,""paper/structure-genesis-first"":13}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/CLOSED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | docs/views/THE_SPINE.md | docs/COSMOLOGY_LEDGER.md | +7 catch-all	NOT PREREGISTERED. Every target number is the paper's, fixed before this file existed
B8082_geodir_h1	paper/structure-genesis-first	B8082/FINDINGS.md:11-14, quoting the paper's Scope (geodirscope)	deformation-cohomology six-dimensional unobstructed unverified	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":5}"	docs/views/VERDICT_LEDGER.md | frontier/B8082_geodir_h1/FINDINGS.md | frontier/B8082_geodir_h1/arc_verdict.json | frontier/B8082_geodir_h1/geodir_h1.py | +1 catch-all	We give neither a proof nor a citation for the dimension count, and it should be read as unverified. It is a deformation-cohomology statement — which H¹ is six-dimensional, and why it is unobstructed — and this paper does not compute it.
B8082_geodir_h1	paper/structure-genesis-first	B8082/FINDINGS.md 'What is NOT computed'	unobstructedness obstruction registered dimension	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":16}"	docs/SEAL_LEDGER.md | frontier/B575_bridge_obstruction/FINDINGS.md | frontier/B575_bridge_obstruction/PREREGISTRATION.md | papers/drafts/PC26_full_chain/PAPER.md | docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8082_geodir_h1/FINDINGS.md | +2 catch-all	Unobstructedness... this arc computes H¹ only... unobstructedness follows from no dimension count available here. It needs genuine obstruction theory or a citation. Registered as owed, not asserted.
B8082_geodir_h1	paper/structure-genesis-first	B8082/results.json 'scope' field	non-zero unobstructedness characteristic obstruction	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":1,""codex/seat-r001"":0,""main"":1,""paper/structure-genesis-first"":11}"	docs/LAW_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B8076_paper_closure/CAMPAIGN.md | frontier/B8082_geodir_h1/geodir_h1.py | frontier/B8082_geodir_h1/results.json | papers/structure_paper/arxiv/main.tex | papers/structure_paper/arxiv/verify/check_geodir.py | papers/structure_paper/verify/check_geodir.py | +2 catch-all	UNOBSTRUCTEDNESS IS NOT COMPUTED: the twisted Euler characteristic is zero and H^0 = H^3 = 0, so dim H^2 = 6 and the obstruction space is non-zero; that half needs obstruction theory or a citation and is registered as owed.
B8084_cold_audit	paper/structure-genesis-first	B8084_cold_audit/FINDINGS.md:75	b1076 pushed absent remote	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":6,""codex/seat-r001"":5,""main"":6,""paper/structure-genesis-first"":7}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | papers/P3_THE_PAPER/CLAIM_CANDIDATES.md | docs/CC3_RELAY_INDEX.md | docs/RELAY_LEDGER.md | frontier/B8084_cold_audit/FINDINGS.md | frontier/B8084_cold_audit/arc_verdict.json | frontier/B8084_cold_audit/relays/CC3_TO_CC_2026-08-19_COLD_AUDIT_BLOCKED_AND_FIRST_FINDING.md | +3 catch-all	B1076 is not pushed; it is absent from every remote branch.
B8084_cold_audit	paper/structure-genesis-first	B8084_cold_audit/relays/CC3_TO_CC_2026-08-19_COLD_AUDIT_BLOCKED_AND_FIRST_FINDING.md:13	b1074 b1075 b1076 execution	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":9,""codex/seat-r001"":7,""main"":9,""paper/structure-genesis-first"":9}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | docs/PRICED_DOORS.md | docs/RELAY_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | papers/P3_THE_PAPER/CLAIM_CANDIDATES.md | docs/LAW_MAP.md | frontier/B8084_cold_audit/relays/CC3_TO_CC_2026-08-19_AUDIT_B1075_CLEAN.md | +5 catch-all	`B1074`, `B1075`, `B1076` **do not exist**, and neither does the execution manifest your request cites
