arc	source	where	terms	status	hits_per_head	top_paths	quote
B458_ethogram_e5_component_cs	main	FINDINGS.md Machinery section	server-side autoindex database ptolemy	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		The Ptolemy database is currently broken server-side (autoindex lists the files; direct GET 404s; Wayback lacks them
B458_ethogram_e5_component_cs	main	FINDINGS.md verdict	asymmetry decompose internal	LEAD	"{""audit/b775-braver-questions"":17,""claude/new-session-qor5up"":16,""claude/outside-bench"":27,""codex/seat-r001"":19,""main"":25,""paper/structure-genesis-first"":18}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B530_natural_history/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B742_negatives_hunt_p1/stageA/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/v3_preassembly.json | +5 catch-all	there is no internal asymmetry to decompose
B458_ethogram_e5_component_cs	main	FINDINGS.md verdict	observable couple	GENERIC	"{""audit/b775-braver-questions"":49,""claude/new-session-qor5up"":43,""claude/outside-bench"":52,""codex/seat-r001"":53,""main"":52,""paper/structure-genesis-first"":43}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/RECOGNITION.md | docs/THEOREM_LEDGER.md | docs/atlas/FAILURE_ATLAS.md | docs/views/VERDICT_LEDGER.md | +11 catch-all	there is no observable for a 'ℤ/2³ = C×P×T' to couple
B459_klein_four_verification	main	FINDINGS.md	verified pattern valued absent	GENERIC	"{""audit/b775-braver-questions"":42,""claude/new-session-qor5up"":37,""claude/outside-bench"":62,""codex/seat-r001"":54,""main"":61,""paper/structure-genesis-first"":42}"	docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/OPEN_PROBLEMS.md | docs/SEAL_LEDGER.md | docs/anatomy/VERDICT_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B199_metallic_exponent_law/workflow_result.json | +12 catch-all	the ℚ(√−15)-valued pattern is ABSENT (verified: no point has q,r dead with s alive)
B459_klein_four_verification	main	FINDINGS.md	partial-vanishing configurations	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B738_pathfinder_compiler/kill_graph.json	no partial-vanishing configurations exist
B459_klein_four_verification	main	ADDENDUM.md Correction 2	forbidden occurs third	LEAD	"{""audit/b775-braver-questions"":12,""claude/new-session-qor5up"":10,""claude/outside-bench"":16,""codex/seat-r001"":16,""main"":15,""paper/structure-genesis-first"":13}"	docs/views/VERDICT_LEDGER.md | frontier/B530_natural_history/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B970_L134_exotics/PRIOR_ART_EXOTICS.md | frontier/B970_L134_exotics/prior_art_exotics.json | papers/VALIDATION_LEDGER.md | docs/OPEN_LEADS.md | +7 catch-all	The third — {√5,√−3}-forbidden ⟺ ... NEVER occurs
B460_relation_r1_child	main	FINDINGS.md Adjudication	novelty until swept	LEAD	"{""audit/b775-braver-questions"":12,""claude/new-session-qor5up"":9,""claude/outside-bench"":12,""codex/seat-r001"":11,""main"":11,""paper/structure-genesis-first"":11}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B775_phase2_wave1/wave5_results.json | papers/VALIDATION_LEDGER.md | docs/MASTERPLAN.md | frontier/B1068_descent_inventory/w2_full_results.json | +5 catch-all	no novelty claimed until swept
B460_relation_r1_child	main	FINDINGS.md Adjudication	closed-form session	GENERIC	"{""audit/b775-braver-questions"":46,""claude/new-session-qor5up"":41,""claude/outside-bench"":60,""codex/seat-r001"":51,""main"":57,""paper/structure-genesis-first"":41}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LITERATURE_SWEEP2_2026-07-13.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B147_arithmetic_chiral_bundle/FINDINGS.md | frontier/B199_metallic_exponent_law/FINDINGS.md | frontier/B199_metallic_exponent_law/workflow_result.json | +7 catch-all	a closed-form F was not attempted this session
B460_relation_r1_child	main	FINDINGS.md Cell 2 table note	abelian flagged branch	GENERIC	"{""audit/b775-braver-questions"":100,""claude/new-session-qor5up"":88,""claude/outside-bench"":123,""codex/seat-r001"":105,""main"":116,""paper/structure-genesis-first"":93}"	docs/CAMPAIGN_STATUS.md | docs/ERROR_LEDGER.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/LEAD_REGISTER.md | docs/OPEN_LEADS.md | docs/OPEN_PROBLEMS.md | docs/SEAL_LEDGER.md | +17 catch-all	the abelian branch ... flagged, not banked
B461_relation_r2_borromean	main	FINDINGS.md, Addendum	degree-10 e-12 recognition precision	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	frontier/B771_phase1_wave1/wave4_results.json	Field recognition at the isolated points FAILED at this precision (1e-12 Newton cannot support degree-10 PSLQ)
B461_relation_r2_borromean	main	FINDINGS.md, verdict summary / arc_verdict.json claim_one_line	brunnian-specific invariant manifold emerged	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":5}"	docs/views/CLOSED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B461_relation_r2_borromean/FINDINGS.md | frontier/B461_relation_r2_borromean/arc_verdict.json | frontier/B738_pathfinder_compiler/kill_graph.json | docs/views/THE_SPINE.md | frontier/B1211_declaration_gap/deep_sweep.json | frontier/B1211_declaration_gap/verification/deep_sweep.json	no Brunnian-specific manifold invariant emerged
B462_relation_r3_double	main	FINDINGS.md, header and Verdict section		UNSWEEPABLE			no H1
B462_relation_r3_double	main	FINDINGS.md, R3b section	conductor-7 transfer sextics fields	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		The fields do NOT transfer: silver gets ℚ(√21), a disc −59 cubic, two sextics — no ℚ(√5), no conductor-7 cubic.
B463_relation_r4_centralizer	main	centralizer.py print statement / FINDINGS.md	simply-connected lit-gate centralizer citation	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":3,""claude/outside-bench"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":4}"	docs/views/VERDICT_LEDGER.md | frontier/B463_relation_r4_centralizer/centralizer.py | docs/OPEN_LEADS.md | +1 catch-all	the group centralizer is FINITE (Kostant: = Z(E6), Z/3 simply-connected / trivial adjoint - LIT-GATE citation, not computed)
B464_relation_verdict	main	FINDINGS.md	class-laundering relational invariant escaped	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":3,""claude/outside-bench"":3,""codex/seat-r001"":3,""main"":3,""paper/structure-genesis-first"":3}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | frontier/B738_pathfinder_compiler/kill_graph.json	No relational invariant escaped class-laundering.
B465_monodromy_intake	main	FINDINGS.md, 'The claims that did not survive' section	reproduced galois modes under	GENERIC	"{""audit/b775-braver-questions"":35,""claude/new-session-qor5up"":31,""claude/outside-bench"":40,""codex/seat-r001"":36,""main"":39,""paper/structure-genesis-first"":34}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B530_natural_history/FINDINGS.md | frontier/B737_candidate_zero/p4_kms.py | frontier/B737_candidate_zero/p4_kms_out.txt | +7 catch-all	C4 (QR c -> 15 modes, NQR c -> 9): NOT REPRODUCED -- and cannot be true under any pure Galois twist
B465_monodromy_intake	main	FINDINGS.md, C8/C9 section	invariant subspace	GENERIC	"{""audit/b775-braver-questions"":113,""claude/new-session-qor5up"":107,""claude/outside-bench"":122,""codex/seat-r001"":118,""main"":120,""paper/structure-genesis-first"":122}"	docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B1022_functor_phase1/PHASE1_CORPUS.md | frontier/B149_sl4_ideal_completeness/FINDINGS.md | frontier/B157_metallic_exponent/sl4_o4_empty.py | +10 catch-all	No 8-dim invariant subspace exists
B465_monodromy_intake	main	FINDINGS.md, 'The claims that did not survive' section	floating-point constructions points shared	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":5}"	frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B756_remaining_doors/RAW_WORKFLOW_OUTPUT.json | papers/VALIDATION_LEDGER.md | docs/LAW_MAP.md | frontier/B1068_descent_inventory/w2_full_results.json | frontier/B1070_listener_derivation/track_a_results.json | frontier/B1072_silver_instrument/b1072_results.json | docs/views/VERDICT_LEDGER.md | +1 catch-all	C5 (32 loops...) and C7 (dark points...): floating-point, constructions not shared.
B466_sigma_equivariant	main	FINDINGS.md	hoped-for monodromy geometric geometry	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":6,""claude/outside-bench"":14,""codex/seat-r001"":7,""main"":12,""paper/structure-genesis-first"":6}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/README.md | frontier/REPO_STATE.md | papers/VALIDATION_LEDGER.md | docs/views/THE_SPINE.md | frontier/B1211_declaration_gap/deep_sweep.json | +5 catch-all	the hoped-for 'physics lives where the static geometry meets the dynamic monodromy': the geometric point is NOT on the fixed line
B466_sigma_equivariant	main	FINDINGS.md	individually symmetry descend swapped	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":6}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B583_chiral_content/READING_RAW.md | frontier/B1067_rayclass_harvest/w1_results.json | frontier/B1068_descent_inventory/w2_full_results.json | frontier/B1074_residue_hunt/b1074_results.json | docs/LAW_MAP.md | +2 catch-all	W1/W2 do NOT descend individually -- they are swapped by the deck symmetry
B467_family_residue_wall	main	FINDINGS.md, F1 section	expressions prereg target zero	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":4,""claude/outside-bench"":6,""codex/seat-r001"":6,""main"":4,""paper/structure-genesis-first"":5}"	docs/OPEN_LEADS.md | frontier/B674_generation_leg/w2_molien_cell/w2_molien_cell.py | frontier/B737_candidate_zero/p2_cover.py | frontier/B796_coupling_campaign/functor_obstruction/BURIED_VALUE_SWEEP.md | docs/LAW_MAP.md | +6 catch-all	886 prereg'd expressions ... ZERO hits on every target
B467_family_residue_wall	main	FINDINGS.md, F1 section	eigenvalue parameters complexity metallic	LEAD	"{""audit/b775-braver-questions"":15,""claude/new-session-qor5up"":14,""claude/outside-bench"":17,""codex/seat-r001"":17,""main"":18,""paper/structure-genesis-first"":15}"	docs/CAMPAIGN_STATUS.md | docs/LAW_MAP.md | docs/views/CLOSED_DOORS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B742_negatives_hunt_p1/stageA/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/v3_preassembly.json | +5 catch-all	The metallic eigenvalue ratios do not encode CKM parameters at this complexity budget; the negative is earned, not assumed
B468_z3_adjudication	main	FINDINGS.md, part 4	det-grading consistent proposed carries	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		The rule as proposed does not exist (consistent with §1: the word family carries no ℤ/3 det-grading to enforce it).
B468_z3_adjudication	main	FINDINGS.md, part 2 (re: the A4/neutrino downstream reading)	empirical entirely loses base	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":21,""claude/outside-bench"":27,""codex/seat-r001"":23,""main"":26,""paper/structure-genesis-first"":22}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | +5 catch-all	loses its empirical base entirely
B469_breath_campaign	main	PHASE2A_RESULTS.md, point 5 (P5)	similarity structures retracted argument	LEAD	"{""audit/b775-braver-questions"":8,""claude/new-session-qor5up"":8,""claude/outside-bench"":12,""codex/seat-r001"":9,""main"":12,""paper/structure-genesis-first"":8}"	docs/CAMPAIGN_STATUS.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | papers/VALIDATION_LEDGER.md | docs/OPEN_LEADS.md | frontier/B1189_close_loop_batch1/verification/batch1_cells.json | frontier/B1211_declaration_gap/deep_sweep.json | +3 catch-all	The similarity argument for finer structures is retracted
B469_breath_campaign	main	PHASE2A_RESULTS.md, point 1	falsified posed	GENERIC	"{""audit/b775-braver-questions"":48,""claude/new-session-qor5up"":42,""claude/outside-bench"":53,""codex/seat-r001"":46,""main"":51,""paper/structure-genesis-first"":44}"	docs/CAMPAIGN_STATUS.md | docs/ERROR_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/RELAY_LEDGER.md | docs/SEAL_LEDGER.md | docs/THE_CAMPAIGN.md | docs/THE_LADDER.md | +11 catch-all	P0 AS POSED: FALSIFIED
B469_breath_campaign	main	FINDINGS.md, BR3 wave 2 section (re: the octic geometric-fiber identification)	certification numerically certified queued	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":7,""claude/outside-bench"":7,""codex/seat-r001"":9,""main"":7,""paper/structure-genesis-first"":7}"	docs/views/VERDICT_LEDGER.md | frontier/B199_metallic_exponent_law/workflow_result.json | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | +5 catch-all	Numerically certified; exact certification queued.
B470_reflection_campaign	main	FINDINGS.md, RF5 section	high-precision dirichlet precision verified	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":8,""claude/outside-bench"":7,""codex/seat-r001"":7,""main"":7,""paper/structure-genesis-first"":7}"	docs/views/VERDICT_LEDGER.md | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave3_results.json | frontier/B773_chord_recompute/cells/OI-146-fix/compute.py | papers/VALIDATION_LEDGER.md | docs/LAW_MAP.md | +2 catch-all	for n>=5 (word length >= 13) SnapPy's Dirichlet construction fails at default precision -- the tower's systole/CS beyond n=4 needs verified/high-precision geometry, priced as the next step (not a result claimed here)
