arc	source	where	terms	status	hits_per_head	top_paths	quote
B1044_gamma_ledger	main tree, frontier/B1044_gamma_ledger	FINDINGS.md:11	layer-2 m004 consume column	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":0,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":3}"	docs/NOVELTY_SWEEP_LEDGER.md | docs/views/VERDICT_LEDGER.md | docs/THE_FRAMEWORK.md | +1 catch-all	the Γ-column is EMPTY — 0 of 20 Layer-2/3 steps consume the group Γ = π₁(m004) itself
B1044_gamma_ledger	main tree, frontier/B1044_gamma_ledger	FINDINGS.md:16	undecidable basis zero	LEAD	"{""audit/b775-braver-questions"":11,""claude/new-session-qor5up"":8,""claude/outside-bench"":18,""codex/seat-r001"":12,""main"":16,""paper/structure-genesis-first"":11}"	docs/HINT_LEDGER.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl | frontier/B742_negatives_hunt_p1/stageA/kill_graph.json | frontier/B742_negatives_hunt_p1/stageA/v3_preassembly.json | papers/VALIDATION_LEDGER.md | docs/SEAL_LEDGER.md | +4 catch-all	Zero UNDECIDABLE: every arc names its own construction basis
B1045_middle_band_mapped	worktree claude_new-session-qor5up (frontier/B1045_middle_band_mapped)	FINDINGS.md (section 1, re: B485)	fingerprints matched single term	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":8,""claude/outside-bench"":8,""codex/seat-r001"":8,""main"":8,""paper/structure-genesis-first"":7}"	docs/OPEN_LEADS.md | frontier/B533_coupling_invariance/FINDINGS.md | frontier/B749_genesis_forks/RESULTS.json | frontier/B1067_rayclass_harvest/w1_results.json | frontier/B1068_descent_inventory/w2_full_results.json | docs/consolidation/LAW_SIBLINGS.md | docs/views/VERDICT_LEDGER.md | frontier/B1051_the_band_closed/FINDINGS.md | +3 catch-all	None of the four fingerprints matched a single term of it
B1046_the_arc_graph	worktree claude_new-session-qor5up (frontier/B1046_the_arc_graph)	FINDINGS.md:24	superseded verified against check	GENERIC	"{""audit/b775-braver-questions"":91,""claude/new-session-qor5up"":97,""claude/outside-bench"":100,""codex/seat-r001"":83,""main"":94,""paper/structure-genesis-first"":90}"	docs/CAMPAIGN_STATUS.md | docs/ERROR_LEDGER.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/PRACTICES.md | docs/RETRACTIONS.md | docs/UNIFIED_STATE.md | +23 catch-all	Nothing read `superseded_by` — no gate, no check, verified against the gate file's own text.
B1047_the_seam_cluster	worktree claude_new-session-qor5up (frontier/B1047_the_seam_cluster)	FINDINGS.md section 'Three self-corrections', item 2	b379 selection reduction frontier	LEAD	"{""audit/b775-braver-questions"":9,""claude/new-session-qor5up"":10,""claude/outside-bench"":11,""codex/seat-r001"":9,""main"":11,""paper/structure-genesis-first"":9}"	docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B379_selection_rule_reduction/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B775_phase2_wave1/wave1_results.json | papers/P1_value_theory/PAPER.md | docs/views/THE_SPINE.md | +2 catch-all	frontier/B379_selection_rule_reduction/ contains no .py at all
B1048_the_seam_cluster_closed	claude/new-session-qor5up	FINDINGS.md, 'The headline is not the seam' section	b426 measured excluded surfaces	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":8,""claude/outside-bench"":8,""codex/seat-r001"":6,""main"":8,""paper/structure-genesis-first"":6}"	docs/views/VERDICT_LEDGER.md | frontier/B770_closure_census/census.json | docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/THE_SPINE.md | docs/LAW_MAP.md | docs/consolidation/DEBT_LEDGER.md | docs/handoffs/CONSOLIDATION_REFRESH_HANDOFF_2026-08-12.md | +3 catch-all	measured with this arc's rows excluded: B426 appears on none of the five curated surfaces
B1048_the_seam_cluster_closed	claude/new-session-qor5up	arc_verdict.json claim_one_line	bulk-write b1046 retractions refused	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":1,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"	docs/views/VERDICT_LEDGER.md	B1046 ... explicitly refused to bulk-write 31 RETRACTIONS rows without 31 body reads
B1049_the_wrapped_exclusion	claude/new-session-qor5up	FINDINGS.md 'Defect B'	failures caught sweep gate	GENERIC	"{""audit/b775-braver-questions"":41,""claude/new-session-qor5up"":35,""claude/outside-bench"":60,""codex/seat-r001"":49,""main"":62,""paper/structure-genesis-first"":40}"	docs/CAMPAIGN_STATUS.md | docs/ERROR_LEDGER.md | docs/LAW_MAP.md | docs/LEAD_REGISTER.md | docs/MASTERPLAN.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | +10 catch-all	the two failures could not have been caught: neither its own sweep nor its own gate run
B1050_the_projective_wall	claude/new-session-qor5up	FINDINGS.md title/section 1	curated surface said	GENERIC	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":50,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	docs/OPEN_LEADS.md | frontier/B796_coupling_campaign/functor_obstruction/BURIED_VALUE_SWEEP.md | docs/CAMPAIGN_STATUS.md | docs/PRACTICES.md | docs/RETRACTIONS.md | docs/THE_LADDER.md | docs/consolidation/DEBT_LEDGER.md | docs/consolidation/SUPERSESSIONS.md | +6 catch-all	no curated surface said so
B1050_the_projective_wall	claude/new-session-qor5up	FINDINGS.md 'L166' section	l166 downstream repairing fourteen	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":4,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":1}"	docs/OPEN_LEADS.md | docs/consolidation/DEBT_LEDGER.md | docs/handoffs/CONSOLIDATION_REFRESH_HANDOFF_2026-08-12.md | docs/views/VERDICT_LEDGER.md | +2 catch-all	L166 ... no gate built ... Repairing the fourteen arc_verdict.json files would move what every downstream sweep counts ... which makes it an owner call, not a drafting one
B1051_the_band_closed	claude/new-session-qor5up	FINDINGS.md 'Registered, not fixed'	produces-proof-module coverage probe test	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":4,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":1}"	frontier/B1060_digest_ledger/DIGEST_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/consolidation/DEBT_LEDGER.md | docs/views/VERDICT_LEDGER.md	B55 and B57 have probe.py and no test lock at all -- two arcs with PRODUCES-PROOF-MODULE content and zero lock coverage
B1052_the_handoff	claude/new-session-qor5up	FINDINGS.md 'the honesty clauses'	corpus snappy cypari absent	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":5,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/consolidation/DEBT_LEDGER.md | docs/handoffs/CONSOLIDATION_REFRESH_HANDOFF_2026-08-12.md | docs/views/VERDICT_LEDGER.md | frontier/B1039_phi_fixed_and_metallic_exponent/FINDINGS.md | +1 catch-all	a third of the corpus read, snappy, sage, cypari, flint all absent
B1053_the_unread_handoffs	claude/new-session-qor5up	FINDINGS.md '2. Its P4 stratum has no arc'	early-era stratum	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":2,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/MASTERPLAN.md | docs/views/VERDICT_LEDGER.md	No arc's claim line claims an early-era stratum.
B1053_the_unread_handoffs	claude/new-session-qor5up	FINDINGS.md '3. The finding that lands on my own arc'	anywhere appears hunt	GENERIC	"{""audit/b775-braver-questions"":48,""claude/new-session-qor5up"":43,""claude/outside-bench"":56,""codex/seat-r001"":48,""main"":51,""paper/structure-genesis-first"":44}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/SEAL_LEDGER.md | docs/dossiers/NOVELTY_MAP.md | docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | +9 catch-all	none of the six appears anywhere in the hunt's arcs
B1053_the_unread_handoffs	claude/new-session-qor5up	FINDINGS.md 'The gap, first, because it is mine'	surfaced handoffs because checked	LEAD	"{""audit/b775-braver-questions"":9,""claude/new-session-qor5up"":11,""claude/outside-bench"":9,""codex/seat-r001"":9,""main"":9,""paper/structure-genesis-first"":9}"	docs/CAMPAIGN_STATUS.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B887_gate_audit/audit_reports.json | papers/VALIDATION_LEDGER.md | docs/consolidation/DEBT_LEDGER.md | docs/handoffs/CONSOLIDATION_REFRESH_HANDOFF_2026-08-12.md | +4 catch-all	The gap surfaced because the owner asked whether the handoffs were mine. Not because I checked.
B1054_review_one	claude/new-session-qor5up	cross-arc, referenced from B1053 but consistent with B1054's own §1 findings	early-era stratum	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":4,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	docs/MASTERPLAN.md | docs/views/VERDICT_LEDGER.md | frontier/B1053_the_unread_handoffs/FINDINGS.md | frontier/B1053_the_unread_handoffs/arc_verdict.json	No arc's claim line claims an early-era stratum.
B1054_review_one	claude/new-session-qor5up	FINDINGS.md 'The loop, and one item that is now three reviews old'	r38-r42 parseable action branch	LEAD	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":2,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"	docs/views/REVIEWER.md | docs/views/VERDICT_LEDGER.md	The last parseable ### Action items block on this branch is Review 37; R38-R42 carry none.
B1054_review_one	claude/new-session-qor5up	FINDINGS.md 'What it found in the advancement'	methodology	UNSWEEPABLE			LAW_MAP has no section for methodology
B1060_digest_ledger	main	AUDIT_QOR5UP_BRANCH_2026-08-13.md §2 item 2	remote-tracking r1-2 failures checks	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		the two failures are the R1-2 finding's own checks, which encode THEIR clone's remote-tracking state
B1060_digest_ledger	main	AUDIT_QOR5UP_BRANCH_2026-08-13.md §2 item 3	cache-shape b946 instruments exposure	DOC_ECHO	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":1}"	 | +1 catch-all	the B946 species ... main's total exposure: 1 of 2 cache-shape instruments
B1062_bridge_cell	main	FINDINGS.md header	measured anywhere value gate	GENERIC	"{""audit/b775-braver-questions"":135,""claude/new-session-qor5up"":100,""claude/outside-bench"":191,""codex/seat-r001"":141,""main"":172,""paper/structure-genesis-first"":128}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/MASTERPLAN.md | docs/OPEN_LEADS.md | docs/OPEN_PROBLEMS.md | docs/PRACTICES.md | docs/RECOGNITION.md | +43 catch-all	Gate 5-Q: no measured value anywhere.
B1062_bridge_cell	main	FINDINGS.md, Riders and honest edges	unidentified robustness uncomputed geometric	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":4,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":5}"	frontier/B770_closure_census/census.json | frontier/B775_phase2_wave1/wave5_results.json | docs/views/VERDICT_LEDGER.md | +2 catch-all	"the specific geometric octic root unidentified (robustness covers the verdict) · the exact bronze trace field uncomputed beyond ""contains degree 8"""
B1062_bridge_cell	main	FINDINGS.md, Riders and honest edges	x-side background loxodromic remaining	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		block 3b's remaining octic roots typing in background at bank time (three of eight typed, all loxodromic; the x-side typed all eight independently)
B1063_refresh_verdict	main	FINDINGS.md, 'The trigger, and a defect found with it'	fetch-currency adjudicates recorded silently	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":0,""claude/outside-bench"":2,""codex/seat-r001"":1,""main"":2,""paper/structure-genesis-first"":1}"	docs/views/VERDICT_LEDGER.md | +1 catch-all	the arXiv route works). Recorded as a fetch-currency defect (the species: a fetch that cannot reach the current source silently adjudicates against a stale one)
B1063_refresh_verdict	main	FINDINGS.md, 'The trigger, and a defect found with it'	verdict-time nu-fit b1027 certificate	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":0,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":1}"	docs/views/VERDICT_LEDGER.md | +1 catch-all	B1027's verdict-time fetch returned the stale 5.2 (the nu-fit.org certificate failure is the live suspect
