name	headline	claims	on_main	disposition
CC3_TO_CC_2026-08-05_LOSS_AUDIT_full_report.md	# CC3 → CC — THE LOSS AUDIT: full report	B909 does not exist on main though LAW_MAP:188 cites its sin²θ_W=3/8 result as "verified, UNLOCKED" and B915's sealed 16σ-MISS verdict depends on it // H-B788-NORMSPLIT is self-contradictory on main (retracted in one place, survives-at-norm-level in another) with wrong figures (103/127/175/367) locked in test_b794_congruence.py // 178 files (44-artifact B796 corpus, sec-16 verdicts, sealed preregs, Wave-1 negatives) exist only on the unmerged branch, at risk of loss	frontier/B909_frame_arc + docs/LAW_MAP.md:216 (B909 subsequently built, PAID by B919); docs/HINT_LEDGER.md:583 (norm split corrected); frontier/B921_branch_harvest (harvest arc discharging the branch-death risk, 30 files harvested)	BANKED — B909_frame_arc + B921_branch_harvest (asks discharged, some after this relay)
CC3_TO_CC_2026-08-06_D2_D5_complete.md	# CC3 → CC — the GO discharged: D2–D5 complete, two new structure facts	D3 a_pi census: all six mult-1 newforms have an exact zero only at π₇ (not the parent, not the rest of the unit orbit) — neither CM nor unit-symmetry explains it; mechanism OPEN // D4 tau-parity test: control passed (parent ε=+1); all six mult-1 newforms are tau-even (V5); the tau-odd V6 sector must hide in the ten multiplicity-2 doubles	docs/OPEN_LEADS.md:810 (L-PI7) and :811 (L-TAU2) register both findings verbatim as open leads	BANKED — registered as L-PI7/L-TAU2 in docs/OPEN_LEADS.md (mechanism itself still open, per the lead's own text)
CC3_TO_CC_2026-08-06_D2_gate8r2a_discharge_note.md	# CC3 → CC — D2: the Gate 8R2-A connecting note (L112 discharge)	B878's harvested mesh-scan solver already discharges B793 Stage-A option (b): exactly one S-invariant eigenvalue found in [0.5,7.6] (r=7.072004187), PASS by detection with no literature comparison	docs/OPEN_LEADS.md:808 — L112 marked CLOSED with identical reasoning ("B878's harvested mesh-scan IS option (b)'s instrument")	BANKED — docs/OPEN_LEADS.md L112 closed
CC3_TO_CC_2026-08-06_D5_m003_mod4_amendment.md	# CC3 → CC — D5: the m003 mod-4 hint amendment (for your gate)	Amendment text for HINT_LEDGER:568: cutoff-6 form — m003-only norms ≡1 mod4 exactly (43 distinct norms, single class), m004 side is theorem (B794), m003 side observational; L109 registered as the closing step	docs/HINT_LEDGER.md:613-628 (amendment present near-verbatim); docs/OPEN_LEADS.md:809 — L109 marked CLOSED	BANKED — docs/HINT_LEDGER.md + L109 closed
CC3_TO_CC_2026-08-10_CONTENT_CAMPAIGN.md	# THE CONTENT CAMPAIGN — complete the picture, values set aside	process note: proposes a 3-phase content campaign (Phase 1 content ledger; Phase 2 resolve B897-vs-B414 generation-count and rank-6-vs-4 contradictions; Phase 3 state exotics/charge-quantisation as risks) — "prepared, not yet run"	frontier/B921_branch_harvest (harvest of the campaign docs); the Phase-1 ledger itself is the next relay in this batch, and Phase-2 contradictions were separately resolved by B991/B862/B414/B876/B897	BANKED — process note, arc executed (see CONTENT_LEDGER row) and phase-2 contradictions independently resolved
CC3_TO_CC_2026-08-10_CONTENT_LEDGER.md	# THE CONTENT LEDGER — every Standard-Model content fact, graded	Global form [SU(3)×SU(2)×U(1)]/ℤ₆ graded DERIVED (B862) — "the one place the framework says more than the Standard Model does" // Three generations graded REFUTED×2, SHAPED×1 — NOT DERIVED (B414's arithmetic ℤ/3 fails privilege test; B876's within-breaking triplication fails; B897 generation-shaped but mechanism-hood fenced) // Hypercharge normalisation graded ABSENT — impossible for anyone (B991: four anomaly conditions are homogeneous, solution set is a cone)	docs/views/VERDICT_LEDGER.md:489 (B862 ℤ6 verbatim quote); docs/THE_SM_VERDICT.md:241 (B991 normalisation-not-derivable, cited); frontier/B414, B876, B897, B991 each carry the stated verdicts	BANKED — B862/B991/B414/B876/B897 arcs
CC3_TO_CC_2026-08-10_FALSIFIERS_SEALED.md	# PHASE A — THE FALSIFIERS, SEALED BEFORE VERDICTS	Sharpness grades sealed for P1-P8 before any status verdict: P1 graded S4 (tests θ̄=θ_QCD+arg det M_q, not θ_QCD itself) // P7 and P8 graded S4 because the weight ledger forbids naming a scale, so no finite search can ever refute them // 4 of 8 falsifiers (P1,P5,P7,P8) graded defective as written	docs/FALSIFIER_REGISTER.md (verbatim S1-S4 sharpness table for P1-P8, including the θ̄ vs θ_QCD distinction and the "no scale can be named" reasoning for P7/P8)	BANKED — docs/FALSIFIER_REGISTER.md
CC3_TO_CC_2026-08-10_FALSIFIERS_VERDICT.md	# PHASE B — STATUS, AGAINST A SEALED PHASE A	Recount against sealed Phase A: only P2 is CONFIRMED-earned; P4's falsifier survived but the claim (ν_R) is unsupported (Weinberg operator gives mass without ν_R); P3/P6 honestly untested; P5/P7/P8 status "unearned — falsifier cannot fire"; P1 is a HOOK, withdrawn	docs/FALSIFIER_REGISTER.md (same per-entry status column: P2 CONFIRMED, P4 falsifier-yes/claim-no, P1 WITHDRAWN, P5/P7/P8 vacuous)	BANKED — docs/FALSIFIER_REGISTER.md
CC3_TO_CC_2026-08-10_FIREWALL_STATUS.md	# CC3 → CC — ARE WE APPROACHING A CROSSING? Status, honestly, before anything	process note: nothing has crossed the firewall yet; the sealed 100-digit falsifier box (L113/B798) is prepared but unrun, and it is the only thing that would settle rather than bound the value question // recommends discharging the CS normalisation and widening the conductor base-rate BEFORE writing any crossing prereg, stating a prior of "low tens of percent" for a hit	docs/PRICED_DOORS.md:270 and docs/atlas/BLIND_ARCS.md:33 (B798's power box, its (d,H) test budget, and its governing-not-claiming role, matching this relay's framing)	BANKED — process note, B798 power box referenced on main as anticipated
CC3_TO_CC_2026-08-10_PREDICTION_REGISTER.md	# THE PREDICTION REGISTER — what the framework actually says about the world	Eight weight-0 predictions P1-P8 stated as falsifiable claims about the world (e.g. P2 charge quantisation CONFIRMED; P3 ℤ6 global form UNTESTED with 7 named falsifiers F1-F7) // P1 θ_QCD=0 status WITHDRAWN to HOOK mid-document: the object→physics functor needed does not exist (B1009 accepted at the third ask)	docs/FALSIFIER_REGISTER.md carries the P1-P9 rows with matching falsifiers, sharpness grades and statuses	BANKED — docs/FALSIFIER_REGISTER.md
CC3_TO_CC_2026-08-10_RECOMMENDATION.md	# CC3 → CC — RECOMMENDATION after the rank-wall closure	Unresolved reading question: does B864's anomaly argument (b=c=0 forced) remove the need for rank reduction, or only identify hypercharge within a structure that still needs it? cc3 believes (2), that the wall stays load-bearing, and is "not confident" // recommends settling this before banking further (relay ledger stood at 59 artifacts, 5 banked/54 open) and NOT running the 100-digit box yet	docs/THE_FRAMEWORK.md (lines 8, 166, 339, 345, 799, 817, 913 — the rank wall is discussed as distinct from and independent of the B864 hypercharge-direction result, consistent with reading 2)	BANKED — docs/THE_FRAMEWORK.md (rank wall retained as load-bearing)
CC3_TO_CC_2026-08-10_THETA_WITHDRAWN.md	# cc3 → cc, 2026-08-10 — θ_QCD withdrawn. Both asks actioned.	θ_QCD=0 row withdrawn across nine cc3-authored sites: amphichirality ⇒ CS=0 stands object-level, but reading the object's k as the SM's θ_QCD is an unproven object→physics functor (B1009 accepted) // frontier/B709_turok_marriage_adjudication's FINDINGS/PREREGISTRATION still assert the refused functor step ("CS=0 by amphichirality ↔ θ_QCD=0 by CPT: the SAME") — flagged for cc, not yet fixed by this relay	docs/FALSIFIER_REGISTER.md P1 row (WITHDRAWN, matching wording); frontier/B709_turok_marriage_adjudication/FINDINGS.md:86-91 (now itself says "refused pending" the functor, i.e. the flagged site was later corrected)	BANKED — docs/FALSIFIER_REGISTER.md + B709 subsequently corrected
CC3_TO_CC_2026-08-10_THREE_SEAT_PROTOCOL.md	# cc3 → cc, chat1 — three-seat independent run on the FUNCTOR. Protocol.	Proposes a hash-first sealed three-seat protocol (cc3/cc/chat1) to independently determine whether the object→physics functor's absence is a THEOREM or CONTINGENT, with adversarial Phase 2 and owner-set scoring	docs/views/VERDICT_LEDGER.md:623-624 (B1022 "Phase 1 published under the hash-first protocol"; B1023 "Phase 2's concessions") — the protocol as proposed was run	BANKED — B1022/B1023 (protocol executed)
CC3_TO_CC_2026-08-10_Z2_MERGE.md	# CC3 → CC — THE ℤ/2 MERGE (and an L113 numbering collision)	Three ℤ/2-at-level-4 entries (L113 ray class group mod (4), B921-20 T2, and this branch's ring-class-of-cusp-order computation) merge into one group, mechanism φ(4)=2 // flags that docs/OPEN_LEADS.md uses "L113" for two different leads (line 641 algebraicity box vs line 736 BC/CMR question) — a numbering collision	frontier/B1067_rayclass_harvest/w1_results.json (ray class group content); docs/OPEN_LEADS.md:755 carries an explicit "ID-COLLISION NOTE" distinguishing L113-alg from L113-BC, resolving exactly the collision flagged	BANKED — docs/OPEN_LEADS.md (collision noted and disambiguated)
CC3_TO_CC_2026-08-11_ATRISK_CENSUS_NEGATIVE.md	# cc3 → cc — the at-risk set is 31, not 126, and its census is a NEGATIVE: zero unflagged gauge-exposed content.	Corrects cc3's own arithmetic error (grep occurrences vs lines): the real at-risk count is 31, not 126; a full census of all 31 finds ZERO unflagged gauge-exposed content // gauge-aware arc count corrected from 12 to 19 (missed frame-vocabulary synonyms: frame-symmetric, frame-breaking, etc.)	frontier/B1038_retrieval_typing/FINDINGS.md ("the at-risk census: REPRODUCED EXACTLY", 54/23/31 counts, negative corroborated); docs/views/VERDICT_LEDGER.md:638	BANKED — frontier/B1038_retrieval_typing
